"Transaction Date","Journal Entry Id","Account Number","Account Name","Amount","Posting Type","Currency","Product Type","Product Code","MarketID Finance","Customer Name","Description"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","167.540000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 A/R"
"2025-03-31","CB Revenue USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","160.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 Revenue"
"2025-03-31","CB Tax USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","7.540000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 Tax"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","167.540000","Credit","USD",\N,\N,\N,\N,"202503 A/R"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","167.540000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 A/R"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","20000","Cash","167.540000","Debit","USD",\N,\N,\N,\N,"202503 A/R"
"2025-03-31","CB Tax USD 202503 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","7.540000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 Tax"
"2025-03-31","CB Revenue USD 202503 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","160.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 Revenue"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","827.220000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 A/R"
"2025-04-30","CB Revenue USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","790.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 Revenue"
"2025-04-30","CB Tax USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","37.220000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 Tax"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","827.220000","Credit","USD",\N,\N,\N,\N,"202504 A/R"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","827.220000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 A/R"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","20000","Cash","827.220000","Debit","USD",\N,\N,\N,\N,"202504 A/R"
"2025-04-30","CB Tax USD 202504 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","37.220000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 Tax"
"2025-04-30","CB Revenue USD 202504 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","790.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 Revenue"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1464.910000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202505 A/R"
"2025-05-31","CB Revenue USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1399.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 Revenue"
"2025-05-31","CB Tax USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","65.910000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 Tax"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","1464.910000","Credit","USD",\N,\N,\N,\N,"202505 A/R"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","1464.910000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 A/R"
